Date,Open,High,Low,Close,Volume
06-12-18,1154.1300000,1154.1300000,1121.5700000,1134.0700000,601379496
07-12-18,1138.1400000,1163.6100000,1134.7300000,1157.9400000,646392126
10-12-18,1148.0300000,1156.6300000,1135.3900000,1136.5000000,504645217
11-12-18,1133.2000000,1143.1500000,1127.7200000,1134.7100000,530592322
12-12-18,1135.2400000,1136.9700000,1122.1800000,1125.7800000,515977020
13-12-18,1123.6000000,1131.4100000,1120.9500000,1129.3500000,487168013
14-12-18,1129.0800000,1129.0800000,1111.7900000,1116.5000000,474413760
17-12-18,1115.5400000,1126.9300000,1111.0100000,1113.4400000,446700910
18-12-18,1104.6200000,1107.9900000,1095.4800000,1106.0500000,670085727
19-12-18,1095.6800000,1103.4900000,1089.1000000,1099.6300000,544360645
20-12-18,1096.7100000,1097.6300000,1081.2800000,1083.4700000,707746250
21-12-18,1082.4300000,1089.8800000,1070.9800000,1077.1700000,649281483
24-12-18,1071.6000000,1080.1600000,1066.3600000,1070.0900000,284810152
25-12-18,1059.5300000,1059.5300000,1033.3100000,1048.7100000,272155847
26-12-18,1053.6200000,1056.2600000,1045.3000000,1053.1700000,217695996
27-12-18,1062.3100000,1073.7600000,1052.6800000,1056.6100000,408111431
28-12-18,1058.2000000,1076.8100000,1058.1600000,1066.1300000,341772733
29-12-18,1069.6200000,1074.1900000,1065.6000000,1067.5700000,77087734
03-01-19,1068.7800000,1093.2200000,1063.6300000,1086.8000000,338057305
04-01-19,1091.8100000,1118.0300000,1091.8100000,1118.0300000,296751530
08-01-19,1115.1100000,1127.7000000,1114.3800000,1122.9000000,404190676
09-01-19,1127.8000000,1137.1500000,1124.4200000,1135.5100000,545866596
10-01-19,1137.5300000,1142.3200000,1129.1500000,1142.3200000,515316947
11-01-19,1147.1700000,1153.3100000,1140.3900000,1148.7500000,545004062
14-01-19,1146.3700000,1147.4600000,1132.2800000,1147.1600000,376581089
15-01-19,1146.9700000,1155.0300000,1139.1600000,1148.0300000,503673252
16-01-19,1148.1500000,1155.0900000,1146.2000000,1152.9900000,495890011
17-01-19,1157.1400000,1157.8900000,1148.2500000,1157.0600000,560245691
18-01-19,1164.9500000,1176.4200000,1163.3800000,1176.4200000,610904337
21-01-19,1176.8000000,1178.4400000,1171.0900000,1171.0900000,417120797
22-01-19,1170.3200000,1170.3200000,1161.9100000,1169.7900000,507969412
23-01-19,1168.4300000,1186.6100000,1167.8600000,1186.5100000,598473615
24-01-19,1185.9300000,1191.5000000,1179.7400000,1188.1500000,752385685
25-01-19,1191.1700000,1193.2900000,1181.7900000,1192.0200000,559354904
28-01-19,1193.1500000,1196.7800000,1175.1200000,1178.9100000,507310910
29-01-19,1177.6200000,1192.7900000,1169.0600000,1191.3800000,548424574
30-01-19,1190.8300000,1200.0900000,1187.6600000,1198.9900000,570118425
31-01-19,1210.8900000,1224.5500000,1210.8900000,1214.4500000,755783751
01-02-19,1213.0200000,1218.4100000,1205.1100000,1211.2300000,537248831
04-02-19,1213.3600000,1219.0900000,1209.2000000,1211.1500000,408491126
05-02-19,1213.9000000,1226.5600000,1212.3300000,1223.4800000,486585243
06-02-19,1222.9400000,1225.0800000,1214.5600000,1215.8300000,442319526
07-02-19,1213.5100000,1213.5100000,1197.0600000,1200.1400000,578259102
08-02-19,1196.1400000,1201.4100000,1189.5700000,1199.6500000,451201086
11-02-19,1198.8100000,1209.8100000,1198.8100000,1201.3300000,447689908
12-02-19,1202.6800000,1218.8300000,1202.6800000,1215.4700000,541865970
13-02-19,1212.0000000,1215.4800000,1190.6000000,1190.7900000,731808348
14-02-19,1165.3600000,1174.1900000,1151.9500000,1156.3100000,1007721433
15-02-19,1166.6300000,1178.0000000,1166.6300000,1177.5000000,620885197
18-02-19,1182.8500000,1186.6600000,1167.5400000,1177.0400000,517832900
19-02-19,1174.8300000,1180.0100000,1164.8900000,1173.6400000,495894355
20-02-19,1181.0500000,1194.8500000,1179.6100000,1194.4000000,564281692
21-02-19,1194.9700000,1199.7100000,1184.5000000,1188.6000000,521669767
22-02-19,1186.9700000,1198.4000000,1186.1400000,1198.4000000,407718158
25-02-19,1200.5900000,1210.8800000,1195.1200000,1201.5700000,547860453
26-02-19,1194.5700000,1195.7800000,1186.2800000,1193.0700000,473584371
27-02-19,1198.6600000,1199.7700000,1183.3800000,1191.0100000,492169478
28-02-19,1192.0900000,1192.3400000,1181.1400000,1188.2800000,602938522
01-03-19,1189.8400000,1194.4700000,1184.4600000,1187.3500000,444707251
04-03-19,1184.3400000,1190.2800000,1182.7200000,1185.8300000,372285854
05-03-19,1181.4100000,1185.6500000,1177.3700000,1180.1500000,449035623
06-03-19,1183.5500000,1193.9100000,1183.5500000,1191.5100000,510128008
07-03-19,1189.8100000,1190.9400000,1177.5300000,1179.5800000,467540857
11-03-19,1176.0300000,1179.6200000,1173.0500000,1176.7100000,494636704
12-03-19,1179.4500000,1188.3700000,1178.7800000,1183.3400000,438209522
13-03-19,1180.9700000,1189.1400000,1177.8400000,1189.1400000,669399027
14-03-19,1189.5800000,1193.2100000,1179.6700000,1181.9600000,511613130
15-03-19,1182.7800000,1196.7500000,1182.7800000,1196.7500000,704938269
18-03-19,1204.0500000,1218.3500000,1201.7700000,1213.3500000,505884150
19-03-19,1216.2600000,1223.3300000,1214.4000000,1219.7800000,489836895
20-03-19,1220.0500000,1227.3300000,1216.7100000,1226.2600000,552098564
21-03-19,1235.7900000,1243.7000000,1234.0200000,1237.6800000,768708627
22-03-19,1237.0000000,1240.1400000,1209.1400000,1213.4000000,517445089
25-03-19,1212.0700000,1229.9300000,1205.1900000,1228.3400000,708616496
26-03-19,1228.3200000,1236.1900000,1223.8000000,1229.9600000,619449173
